DEM,NDVI,slope,erosion_label
2054,0.3092028200626373,2016.0,0
547,0.1668116301298141,1507.0,1
117,0.2683527171611786,430.0,1
109,0.4068939089775085,8.0,0
187,0.2654610574245453,78.0,1
403,0.5830312967300415,216.0,0
999,0.2562619745731354,596.0,1
79,0.2837391197681427,920.0,1
154,0.3136242032051086,75.0,0
1584,0.4608732163906097,1430.0,0
585,0.1851724684238433,999.0,1
132,0.2450780570507049,453.0,1
214,0.2321295142173767,82.0,1
140,0.2476014792919159,74.0,1
616,0.3131043910980224,476.0,0
110,0.0794573649764061,506.0,1
100,0.4819828867912292,10.0,0
270,0.2097104340791702,170.0,1
220,0.2705895006656647,50.0,1
264,0.3303732573986053,44.0,0
743,0.3487257659435272,479.0,0
346,0.3594281077384949,397.0,0
13,0.2786544263362884,333.0,1
316,0.1045854240655899,303.0,1
165,0.2032826095819473,151.0,1
88,0.34244304895401,77.0,0
589,0.2589583396911621,501.0,1
52,0.2336457818746566,537.0,1
185,0.0806076675653457,133.0,1
63,0.3397148251533508,122.0,0
271,0.2314758151769638,208.0,1
786,0.1943109780550003,515.0,1
393,0.1910576373338699,393.0,1
143,0.140656292438507,250.0,1
38,0.5188912153244019,105.0,0
90,0.2534176707267761,52.0,1
168,0.3445235788822174,78.0,0
153,0.2564748227596283,15.0,0
709,0.2264839559793472,556.0,1
87,0.4433921575546264,622.0,0
316,0.1906903833150863,229.0,1
379,0.2828167676925659,63.0,1
134,0.3831019401550293,245.0,0
583,0.2770400643348694,449.0,1
13,0.3191770613193512,570.0,0
320,0.2433315217494964,307.0,1
354,0.1905957162380218,34.0,1
102,0.1687168926000595,252.0,1
548,0.3078755438327789,446.0,0
8,0.246759682893753,540.0,1
838,0.3108983337879181,830.0,0
198,0.3077803254127502,640.0,0
182,0.3089205026626587,16.0,0
504,0.1830815523862838,322.0,1
248,0.1846528351306915,256.0,1
306,0.3247820436954498,58.0,0
573,0.2083729803562164,267.0,1
165,0.236606016755104,408.0,1
256,0.2602688670158386,91.0,1
54,0.2757207453250885,202.0,1
366,0.2113144695758819,312.0,1
185,0.2532862424850464,181.0,1
65,0.2794292569160461,120.0,1
3748,0.0429511629045009,3683.0,1
12,0.3695225715637207,3736.0,0
132,0.1847682744264602,120.0,1
227,0.2615635395050049,95.0,1
58,0.2560460567474365,169.0,1
260,0.3215406239032745,202.0,0
148,0.2157130986452102,112.0,1
126,0.405652105808258,22.0,0
710,0.25,584.0,1
1566,0.3657973706722259,856.0,0
602,0.2283024489879608,964.0,1
171,0.315451443195343,431.0,0
488,0.171290710568428,317.0,1
1416,0.4861595332622528,928.0,0
300,0.1833594441413879,1116.0,1
189,0.1512679457664489,111.0,1
396,0.4204341769218445,207.0,0
984,0.3132330775260925,588.0,0
644,0.1425309181213379,340.0,1
76,0.3004003763198852,568.0,0
25,0.2908286452293396,51.0,1
327,0.2164802253246307,302.0,1
242,0.2942008972167969,85.0,1
646,0.1834024488925933,404.0,1
751,0.4070080816745758,105.0,0
817,0.2212866246700287,66.0,1
329,0.2712551355361938,488.0,1
448,0.247392252087593,119.0,1
257,0.2046895623207092,191.0,1
610,0.2438978403806686,353.0,1
265,0.1613495498895645,345.0,1
392,0.3503046035766601,127.0,0
264,0.1111788898706436,128.0,1
690,0.1095489189028739,426.0,1
13,0.2714173495769501,677.0,1
40,0.3243319690227508,27.0,0
3,0.1159253269433975,37.0,1
236,0.2869805097579956,233.0,1
491,0.1664947420358657,255.0,1
420,0.27705779671669,71.0,1
434,0.177160382270813,14.0,0
738,0.1906644254922866,304.0,1
320,0.2393520474433899,418.0,1
1735,0.5206668376922607,1415.0,0
132,0.1987989246845245,1603.0,1
164,0.3174850046634674,32.0,0
199,0.1179608777165412,35.0,1
249,0.2579861581325531,50.0,1
518,0.2170526683330536,269.0,1
627,0.4502051472663879,109.0,0
533,0.2354753017425537,94.0,1
472,0.1618714332580566,61.0,1
527,0.2513513565063476,55.0,1
1325,0.4461107850074768,798.0,0
82,0.3801876902580261,1243.0,0
53,0.1814398020505905,29.0,0
511,0.1456850171089172,458.0,1
398,0.2790738642215729,113.0,1
514,0.2864679396152496,116.0,1
181,0.0872073695063591,333.0,1
37,0.3287622630596161,144.0,0
517,0.1539619266986847,480.0,1
554,0.2487141788005828,37.0,1
402,0.2481705993413925,152.0,1
500,0.1536630690097808,98.0,1
488,0.2495264410972595,12.0,0
310,0.3032929003238678,178.0,0
612,0.1556609869003296,302.0,1
790,0.4593551456928253,178.0,0
9,0.3569455742835998,781.0,0
31,0.2650939524173736,22.0,0
466,0.2137068063020706,435.0,1
165,0.3028812408447265,301.0,0
98,0.2263617515563964,67.0,1
1094,0.5278881192207336,996.0,0
298,0.2289971709251403,796.0,1
26,0.2238330990076065,272.0,1
101,0.3868502676486969,75.0,0
632,0.1797571331262588,531.0,1
45,0.2722616195678711,587.0,1
296,0.2679738700389862,251.0,1
5,0.2858363091945648,291.0,1
177,0.2571144700050354,172.0,1
188,0.066945344209671,11.0,0
411,0.2916751503944397,223.0,1
484,0.2383978962898254,73.0,1
273,0.4105914533138275,211.0,0
844,0.3755742609500885,571.0,0
162,0.3094700276851654,682.0,0
604,0.2149772047996521,442.0,1
817,0.2881795465946197,213.0,1
254,0.0694898962974548,563.0,1
3989,-0.0185002144426107,3735.0,1
207,0.2261800318956375,3782.0,1
400,0.319717526435852,193.0,0
605,0.3549146950244903,205.0,0
220,0.242680549621582,385.0,1
179,0.284945398569107,41.0,1
100,0.2342175543308258,79.0,1
355,0.2374647408723831,255.0,1
299,0.266156792640686,56.0,1
69,0.2768981158733368,230.0,1
78,0.280524343252182,9.0,0
420,0.1870908886194229,342.0,1
324,0.3010608553886413,96.0,0
185,0.128967747092247,139.0,1
454,0.234880730509758,269.0,1
407,0.2309347838163375,47.0,1
523,0.1756067723035812,116.0,1
14,0.4268292784690857,509.0,0
733,0.4384845495223999,719.0,0
341,0.3123930394649505,392.0,0
115,0.2830177843570709,226.0,1
284,0.2339935451745987,169.0,1
228,0.2086941748857498,56.0,1
337,0.2237555384635925,109.0,1
613,0.3067010343074798,276.0,0
397,0.2976427376270294,216.0,1
208,0.1682562828063964,189.0,1
204,0.2482723295688629,4.0,0
490,0.4219704866409302,286.0,0
205,0.2495683878660202,285.0,1
322,0.2009967267513275,117.0,1
591,0.2639659643173218,269.0,1
162,0.1288035959005355,429.0,1
258,0.3059384226799011,96.0,0
446,0.5855919122695923,188.0,0
270,0.2536637485027313,176.0,1
107,0.385276198387146,163.0,0
266,0.171544000506401,159.0,1
18,0.3460317552089691,248.0,0
70,0.2179461568593979,52.0,1
315,0.2515201866626739,245.0,1
150,0.1841606497764587,165.0,1
553,0.1550261676311493,403.0,1
743,0.3348134756088257,190.0,0
369,0.1489437818527221,374.0,1
834,0.4268759191036224,465.0,0
133,0.3085360527038574,701.0,0
65,0.0764323100447654,68.0,1
90,0.2101393043994903,25.0,0
159,0.1864073872566223,69.0,1
64,0.4133763015270233,95.0,0
96,0.3239495754241943,32.0,0
120,0.2551855444908142,24.0,0
471,0.2359109818935394,351.0,1
273,0.2259204983711242,198.0,1
1018,0.460835337638855,745.0,0
498,0.2397968769073486,520.0,1
33,0.2641283869743347,465.0,1
361,0.176420658826828,328.0,1
182,0.2987354695796966,179.0,1
130,0.3434395790100097,52.0,0
59,0.2720747888088226,71.0,1
188,0.1241830065846443,129.0,1
118,0.2533920109272003,70.0,1
128,0.2643131613731384,10.0,0
47,0.2013032287359237,81.0,1
200,0.0826813429594039,153.0,1
234,0.2031932324171066,34.0,1
84,0.3338598310947418,150.0,0
213,0.287992924451828,129.0,1
218,0.3888684213161468,5.0,0
837,0.5220417380332947,619.0,0
704,0.3642663955688476,133.0,0
398,0.2609274685382843,306.0,1
175,0.464642733335495,223.0,0
357,0.2294052392244339,182.0,1
367,0.2329038679599762,10.0,0
570,0.2385410517454147,203.0,1
1473,0.503523051738739,903.0,0
528,0.1538584381341934,945.0,1
2232,0.4236988127231598,1704.0,0
60,0.264482706785202,2172.0,1
235,0.3964252173900604,175.0,0
80,0.1365947723388672,155.0,1
156,0.262129545211792,76.0,1
647,0.2315224856138229,491.0,1
266,0.2386049777269363,381.0,1
284,0.2329493463039398,18.0,0
247,0.1082419902086258,37.0,1
564,0.3307592868804931,317.0,0
139,0.2728372514247894,425.0,1
543,0.4658734202384949,404.0,0
300,0.2003907710313797,243.0,1
555,0.216962531208992,255.0,1
254,0.2066040635108947,301.0,1
295,0.1056939363479614,41.0,1
287,0.2354867756366729,8.0,0
448,0.162871241569519,161.0,1
34,0.2989919483661651,414.0,1
20,0.249817743897438,14.0,0
161,0.2542944550514221,141.0,1
906,0.4079454243183136,745.0,0
624,0.2037162780761718,282.0,1
439,0.2253666073083877,185.0,1
436,0.2696990668773651,3.0,0
95,0.264852374792099,341.0,1
354,0.4476494789123535,259.0,0
255,0.0953893065452575,99.0,1
703,0.4277444779872894,448.0,0
497,0.1155420690774917,206.0,1
344,0.3021793961524963,153.0,0
676,0.1820429861545562,332.0,1
404,0.244548812508583,272.0,1
183,0.3486287295818329,221.0,0
869,0.5488051176071167,686.0,0
43,0.3088752925395965,826.0,0
934,0.1958475410938263,891.0,1
119,0.3653596937656402,815.0,0
470,0.2780790627002716,351.0,1
67,0.1924502849578857,403.0,1
5380,-0.0177568681538105,5313.0,1
297,0.3210322558879852,5083.0,0
58,0.2226370573043823,239.0,1
1040,0.4937146604061126,982.0,0
329,0.1736493408679962,711.0,1
74,0.2844803631305694,255.0,1
497,0.3035374283790588,423.0,0
770,0.2996407151222229,273.0,1
492,0.2399006932973861,278.0,1
489,0.2049796432256698,3.0,0
306,0.1270636469125747,183.0,1
22,0.4230836927890777,284.0,0
543,0.2117944657802581,521.0,1
637,0.4217875897884369,94.0,0
261,0.1833445280790329,376.0,1
143,0.0923646911978721,118.0,1
70,0.2207763791084289,73.0,1
235,0.1577789336442947,165.0,1
105,0.3051396310329437,130.0,0
56,0.2750908136367798,49.0,1
821,0.2932519614696502,765.0,1
382,0.2811059951782226,439.0,1
331,0.2998561561107635,51.0,1
27,-0.0236024837940931,304.0,1
104,0.2879768311977386,77.0,1
5,0.1225152686238288,99.0,1
155,0.25582355260849,150.0,1
146,0.0975271537899971,9.0,0
4,0.2760811150074005,142.0,1
354,0.2800813019275665,350.0,1
512,0.1691759377717971,158.0,1
233,0.3208841681480407,279.0,0
1912,0.4547218680381775,1679.0,0
136,0.2802610993385315,1776.0,1
613,0.3166215121746063,477.0,0
368,0.1878238767385482,245.0,1
290,0.3749046623706817,78.0,0
283,0.1592647582292556,7.0,0
4797,-0.0231124889105558,4514.0,1
319,0.1197487041354179,4478.0,1
254,0.3510935306549072,65.0,0
376,0.2949404716491699,122.0,1
303,0.2879620790481567,73.0,1
8,0.3862558603286743,295.0,0
362,0.294805109500885,354.0,1
229,0.2339989691972732,133.0,1
417,0.2397781014442443,188.0,1
237,0.2745363712310791,180.0,1
860,0.2441651672124862,623.0,1
1130,0.3667263090610504,270.0,0
126,0.3626347184181213,1004.0,0
379,0.1393165290355682,253.0,1
940,0.3666815161705017,561.0,0
58,0.2932131588459015,882.0,1
3232,0.1259771585464477,3174.0,1
189,0.2630273997783661,3043.0,1
423,0.1704151183366775,234.0,1
66,0.3689310252666473,357.0,0
469,0.1863244622945785,403.0,1
539,0.1953028440475464,70.0,1
274,0.2524659037590027,265.0,1
159,0.2867671847343445,115.0,1
487,0.2349302768707275,328.0,1
4835,-0.0068958471529185,4348.0,1
395,0.2934238016605377,4440.0,1
131,0.4433521032333374,264.0,0
696,0.1996905654668808,565.0,1
49,0.4024144113063812,647.0,0
166,0.0985115021467208,117.0,1
39,0.0353627242147922,127.0,1
745,0.463309109210968,706.0,0
83,0.3654831945896148,662.0,0
592,0.210461214184761,509.0,1
340,0.2384769320487976,252.0,1
665,0.2467001378536224,325.0,1
384,0.212004154920578,281.0,1
536,0.1443786919116974,152.0,1
85,0.3543529510498047,451.0,0
233,0.224442645907402,148.0,1
9,0.2017559856176376,224.0,1
86,0.2819051444530487,77.0,1
7,0.3648714125156402,79.0,0
23,0.2531075477600097,16.0,0
382,0.2038035243749618,359.0,1
655,0.4152984917163849,273.0,0
110,0.4241457283496856,545.0,0
151,0.260453999042511,41.0,1
4872,-0.0213983990252017,4721.0,1
584,0.4151807725429535,4288.0,0
66,0.2739536464214325,518.0,1
526,0.1988908797502517,460.0,1
243,0.3153782188892364,283.0,0
89,0.2705705165863037,154.0,1
497,0.1363673508167266,408.0,1
463,0.3027923107147217,34.0,0
568,0.2421815395355224,105.0,1
312,0.2415812611579895,256.0,1
36,0.2533386349678039,276.0,1
130,0.2179806977510452,94.0,1
150,0.243723452091217,20.0,0
107,0.2506774961948395,43.0,1
366,0.3053344488143921,259.0,0
137,0.3366643190383911,229.0,0
175,0.4814663529396057,38.0,0
190,0.0947095975279808,15.0,0
719,0.1760518252849578,529.0,1
542,0.1869919896125793,177.0,1
81,0.1203424781560897,461.0,1
495,0.2178139686584472,414.0,1
298,0.1016105040907859,197.0,1
340,0.269857257604599,42.0,1
606,0.1287171840667724,266.0,1
357,0.2759581506252289,249.0,1
504,0.2136278599500656,147.0,1
240,0.2279518097639084,264.0,1
1091,0.5138698816299438,851.0,0
186,0.221201866865158,905.0,1
75,0.0696679502725601,111.0,1
439,0.3141309022903442,364.0,0
179,0.1455716490745544,260.0,1
434,0.2147847712039947,255.0,1
327,0.2437967807054519,107.0,1
278,0.3463799953460693,49.0,0
337,0.3397970795631408,59.0,0
275,0.1684506386518478,62.0,1
80,0.218290090560913,195.0,1
411,0.3060832023620605,331.0,0
812,0.4647164344787597,401.0,0
145,0.238516554236412,667.0,1
948,0.4050274491310119,803.0,0
500,0.5329838991165161,448.0,0
484,0.3253798484802246,16.0,0
201,0.2759377956390381,283.0,1
2271,0.4269662797451019,2070.0,0
403,0.1849975287914276,1868.0,1
433,0.2954325973987579,30.0,0
346,-0.0195652171969413,87.0,1
604,0.2814136147499084,258.0,1
1212,0.4108701348304748,608.0,0
342,0.161536157131195,870.0,1
64,0.3848054409027099,278.0,0
210,0.1262677460908889,146.0,1
1006,0.3612340092658996,796.0,0
269,0.4714176952838897,737.0,0
291,0.2803484201431274,22.0,0
314,0.2608650028705597,23.0,0
903,0.5360925197601318,589.0,0
56,0.2754235565662384,847.0,1
80,0.2366056591272354,24.0,0
931,0.245634451508522,851.0,1
185,0.2907972037792206,746.0,1
633,0.2053132653236389,448.0,1
36,0.3516412079334259,597.0,0
428,0.3017992079257965,392.0,0
494,-0.0390060991048812,66.0,1
31,0.336520791053772,463.0,0
615,0.5286845564842224,584.0,0
12,0.2558908760547638,603.0,1
881,0.4156296849250793,869.0,0
46,0.4595446586608886,835.0,0
267,0.2623960375785827,221.0,1
1111,0.4643645882606506,844.0,0
579,0.2941496074199676,532.0,1
343,0.2163930833339691,236.0,1
480,0.3003904223442077,137.0,0
22,0.2565674781799316,458.0,1
610,0.2760640382766723,588.0,1
205,0.2939753830432892,405.0,1
97,0.3299888670444488,108.0,0
154,0.1842269152402877,57.0,1
349,0.2126264423131942,195.0,1
289,0.2247802317142486,60.0,1
3118,0.0061213131994009,2829.0,1
1407,0.3724396526813507,1711.0,0
635,0.1921021044254303,772.0,1
561,0.1810755580663681,74.0,1
242,0.228171169757843,319.0,1
69,0.2438738048076629,173.0,1
195,0.2249856293201446,126.0,1
699,0.405682623386383,504.0,0
186,0.0765467435121536,513.0,1
141,0.2685633897781372,45.0,1
445,0.1401008665561676,304.0,1
15,0.2689773440361023,430.0,1
360,0.2776133418083191,345.0,1
698,0.242250919342041,338.0,1
360,0.2998757660388946,338.0,1
432,0.235099971294403,72.0,1
227,0.2338790446519851,205.0,1
308,0.1486673802137375,81.0,1
354,0.2070941627025604,46.0,1
236,0.2726741135120392,118.0,1
150,0.1611332446336746,86.0,1
493,0.3138035535812378,343.0,0
275,0.2150747179985046,218.0,1
158,0.3082154393196106,117.0,0
612,0.2398077398538589,454.0,1
150,0.185787171125412,462.0,1
126,0.2674821019172668,24.0,0
314,0.1347497850656509,188.0,1
523,0.2169510573148727,209.0,1
296,0.3764828443527221,227.0,0
605,0.198701798915863,309.0,1
34,0.3397739827632904,571.0,0
188,0.1681547611951828,154.0,1
102,0.2697140574455261,86.0,1
610,0.2371834814548492,508.0,1
140,0.2640208303928375,470.0,1
1038,0.4048702716827392,898.0,0
344,0.246880754828453,694.0,1
507,0.0919307693839073,163.0,1
70,0.3102674484252929,437.0,0
411,0.155583456158638,341.0,1
429,0.2861965596675873,18.0,0
252,0.2685111761093139,177.0,1
287,0.1356140226125717,35.0,1
201,0.2217238396406173,86.0,1
238,0.3069544434547424,37.0,0
552,0.1773928999900818,314.0,1
6,0.1986864507198333,546.0,1
82,0.3420268297195434,76.0,0
85,0.2115580886602401,3.0,0
92,0.4691700339317322,7.0,0
188,0.1878774613142013,96.0,1
213,0.1837492138147354,25.0,0
443,0.1988636404275894,230.0,1
157,0.2329153567552566,286.0,1
328,0.2048314064741134,171.0,1
59,0.2783751487731933,269.0,1
396,0.2101843506097793,337.0,1
1794,0.3934741020202636,1398.0,0
1550,0.2751779854297638,244.0,1
1337,0.3716397881507873,213.0,0
745,0.2035439312458038,592.0,1
539,0.2032405734062194,206.0,1
81,0.301725834608078,458.0,0
211,0.079287052154541,130.0,1
488,0.2462686598300933,277.0,1
230,0.2645255923271179,258.0,1
2743,0.2311871796846389,2513.0,1
250,0.2598055303096771,2493.0,1
158,0.3327421545982361,92.0,0
138,0.1162255331873893,20.0,0
633,0.1993584483861923,495.0,1
367,0.1745019853115081,266.0,1
177,0.2741939723491668,190.0,1
662,0.2956677079200744,485.0,1
297,0.4377096891403198,365.0,0
285,0.2853074371814728,12.0,0
332,0.4007677435874939,47.0,0
217,0.1980792731046676,115.0,1
458,0.5271171927452087,241.0,0
579,0.3651661276817322,121.0,0
278,0.2220608592033386,301.0,1
6,0.3452594876289367,272.0,0
470,0.1916318833827972,464.0,1
773,0.5718132257461548,303.0,0
2394,0.3304548263549804,1621.0,0
605,0.1887636482715606,1789.0,1
391,0.2038604468107223,214.0,1
457,0.3982102870941162,66.0,0
773,0.2016736418008804,316.0,1
517,0.3110080659389496,256.0,0
19,0.2964544296264648,498.0,1
642,0.2431095540523529,623.0,1
284,0.3571269810199737,358.0,0
2123,0.276952862739563,1839.0,1
142,0.2928416430950165,1981.0,1
576,0.1794776171445846,434.0,1
137,0.2788459062576294,439.0,1
3128,0.2432287484407425,2991.0,1
540,0.2193911224603653,2588.0,1
264,0.1349446028470993,276.0,1
555,0.2057994306087494,291.0,1
291,0.2068427205085754,264.0,1
40,0.1101619526743888,251.0,1
135,0.0669524893164634,95.0,1
119,0.2569670677185058,16.0,0
122,0.3242392539978027,3.0,0
76,0.3434558808803558,46.0,0
73,0.2045128941535949,3.0,0
964,0.3810791075229645,891.0,0
12,0.2786206901073456,952.0,1
150,0.0906254053115844,138.0,1
239,0.1212365627288818,89.0,1
222,0.2342298775911331,17.0,0
171,0.4444634318351745,51.0,0
322,0.1722182780504226,151.0,1
155,0.2193464189767837,167.0,1
120,0.2486350089311599,35.0,1
70,0.4532065391540527,50.0,0
64,0.2891999185085296,6.0,0
63,0.4106649756431579,1.0,0
66,0.2934390306472778,3.0,0
278,0.2794261574745178,212.0,1
740,0.25253826379776,462.0,1
146,0.2637882828712463,594.0,1
491,0.1862451881170272,345.0,1
307,0.2639796137809753,184.0,1
51,0.2677831947803497,256.0,1
246,0.2577918469905853,195.0,1
536,0.0252557415515184,290.0,1
298,0.2279436439275741,238.0,1
307,0.1553559899330139,9.0,0
716,0.4050391614437103,409.0,0
84,0.1173062175512313,632.0,1
44,0.3370659053325653,40.0,0
372,0.251789391040802,328.0,1
210,0.274576187133789,162.0,1
421,0.2381607741117477,211.0,1
443,0.3261971771717071,22.0,0
1190,0.4876470565795898,747.0,0
238,0.2064761966466903,952.0,1
230,0.2502564191818237,8.0,0
391,0.2909365892410278,161.0,1
54,0.4183790981769562,337.0,0
156,0.1945875287055969,102.0,1
1517,0.3271578848361969,1361.0,0
392,0.3290079534053802,1125.0,0
363,0.3123198747634887,29.0,0
116,0.2603321671485901,247.0,1
497,0.213286742568016,381.0,1
122,0.2390968352556228,375.0,1
239,0.1875251531600952,117.0,1
78,0.2854122519493103,161.0,1
229,0.228390172123909,151.0,1
106,0.4645403325557709,123.0,0
344,0.1455337107181549,238.0,1
222,0.3647206425666809,122.0,0
456,0.4177534580230713,234.0,0
199,0.1059527769684791,257.0,1
167,0.1193248629570007,32.0,1
235,0.3519006073474884,68.0,0
12,0.2263585180044174,223.0,1
1693,0.4658806622028351,1681.0,0
909,0.2238455563783645,784.0,1
315,0.2253348678350448,594.0,1
49,0.2790224254131317,266.0,1
357,0.1664580106735229,308.0,1
196,0.1293768882751464,161.0,1
663,0.3474713861942291,467.0,0
601,0.2664497494697571,62.0,1
635,0.2240832895040512,34.0,1
18,0.1159884184598922,617.0,1
1057,0.3122587203979492,1039.0,0
714,0.5214718580245972,343.0,0
308,0.2048919945955276,406.0,1
7,0.2362587302923202,301.0,1
374,0.1884212046861648,367.0,1
233,0.0812078565359115,141.0,1
80,0.2035810351371765,153.0,1
78,0.2126037031412124,2.0,0
316,0.3568027317523956,238.0,0
35,0.2466961741447448,281.0,1
683,0.2109431624412536,648.0,1
120,0.304157555103302,563.0,0
176,0.1940245479345321,56.0,1
15,0.2784203886985779,161.0,1
8,0.0491626858711242,7.0,0
50,0.1459132134914398,42.0,1
77,0.23854660987854,27.0,0
253,0.1553090363740921,176.0,1
260,0.3584504127502441,7.0,0
446,0.2279411703348159,186.0,1
417,0.1409507095813751,29.0,0
500,0.2049277424812317,83.0,1
445,0.2633309960365295,55.0,1
637,0.2254101783037185,192.0,1
207,0.3306589722633362,430.0,0
622,0.2633647918701172,415.0,1
140,0.1687620282173156,482.0,1
238,0.2547468245029449,98.0,1
682,0.4456634223461151,444.0,0
316,0.1407618969678878,366.0,1
272,0.3071856498718261,44.0,0
56,0.2735453844070434,216.0,1
7,0.2685691118240356,49.0,1
59,0.3261812329292297,52.0,0
628,0.2093139588832855,569.0,1
184,0.2683363258838653,444.0,1
554,0.2839354872703552,370.0,1
73,0.3343004584312439,481.0,0
123,0.2777005136013031,50.0,1
100,0.2220203429460525,23.0,0
729,0.5078059434890747,629.0,0
205,0.2470287084579467,524.0,1
389,0.1937130540609359,184.0,1
1105,0.2795056700706482,716.0,1
276,0.2669333815574646,829.0,1
323,0.1887751817703247,47.0,1
279,0.2802988290786743,44.0,1
117,0.2528067529201507,162.0,1
128,0.232219785451889,11.0,0
255,0.2380754053592682,127.0,1
173,0.3914909064769745,82.0,0
275,0.2956423759460449,102.0,1
407,0.1910548359155655,132.0,1
210,0.2261529862880706,197.0,1
154,0.2398336231708526,56.0,1
1103,0.4622726738452911,949.0,0
85,0.2468755096197128,1018.0,1
209,0.2486914843320846,124.0,1
268,0.4396337866783142,59.0,0
458,0.2235696613788604,190.0,1
558,0.2436076253652572,100.0,1
419,0.3104090988636017,139.0,0
344,0.0411805212497711,75.0,1
518,0.3750755488872528,174.0,0
415,0.2539027631282806,103.0,1
4486,0.0076335878111422,4071.0,1
84,0.1619047671556472,4402.0,1
663,0.4500451683998108,579.0,0
317,0.4878716170787811,346.0,0
314,0.448395311832428,3.0,0
509,0.1578001379966735,195.0,1
450,0.1722204685211181,59.0,1
201,0.3022950887680053,249.0,0
676,0.1830067634582519,475.0,1
648,0.199890524148941,28.0,0
484,0.1522850394248962,164.0,1
791,0.2286680191755294,307.0,1
7,0.4418091475963592,784.0,0
772,0.2368298321962356,765.0,1
261,0.2428987175226211,511.0,1
103,0.2516528964042663,158.0,1
2599,0.2990855276584625,2496.0,1
257,0.2544713914394378,2342.0,1
252,0.3278895914554596,5.0,0
476,0.299941748380661,224.0,1
612,0.2473750561475753,136.0,1
252,0.2989566028118133,360.0,1
282,0.2294606566429138,30.0,0
639,0.2205712497234344,357.0,1
452,0.2662450969219208,187.0,1
175,0.1538646817207336,277.0,1
48,0.3639166057109833,127.0,0
726,0.2809289991855621,678.0,1
285,0.228910818696022,441.0,1
105,0.2610250413417816,180.0,1
352,0.3820209205150604,247.0,0
620,0.2934352457523346,268.0,1
385,0.2712093889713287,235.0,1
697,0.3420506417751312,312.0,0
321,0.2322456836700439,376.0,1
56,0.2473425418138504,265.0,1
339,0.31143718957901,283.0,0
202,0.0986058264970779,137.0,1
254,0.1828116327524185,52.0,1
581,0.2592123448848724,327.0,1
294,0.1181648597121238,287.0,1
200,0.2133863419294357,94.0,1
502,0.1956120133399963,302.0,1
70,0.224010944366455,432.0,1
36,0.2663064301013946,34.0,1
647,0.1886086463928222,611.0,1
399,0.2429718822240829,248.0,1
123,0.1059940904378891,276.0,1
256,0.1177447140216827,133.0,1
344,0.1414069086313247,88.0,1
112,0.0659651979804039,232.0,1
105,0.2459180206060409,7.0,0
272,0.2793140411376953,167.0,1
